month,editor_type,total.content,total.non-content
2022--0-9-T00:00:00.000Z,anonymous,21149,1472
2022--0-9-T00:00:00.000Z,user,106966,30969
2022--0-9-T00:00:00.000Z,group-bot,181854,47370
2022--0-9-T00:00:00.000Z,name-bot,1,171
2022--1-0-T00:00:00.000Z,anonymous,20840,2287
2022--1-0-T00:00:00.000Z,user,120247,32192
2022--1-0-T00:00:00.000Z,group-bot,30904,20131
2022--1-0-T00:00:00.000Z,name-bot,4,113
2022--1-1-T00:00:00.000Z,anonymous,22688,2823
2022--1-1-T00:00:00.000Z,user,120899,35452
2022--1-1-T00:00:00.000Z,group-bot,51476,12410
2022--1-1-T00:00:00.000Z,name-bot,5,174
2022--1-2-T00:00:00.000Z,anonymous,20065,1909
2022--1-2-T00:00:00.000Z,user,127640,34469
2022--1-2-T00:00:00.000Z,group-bot,78266,11081
2022--1-2-T00:00:00.000Z,name-bot,6,173
2023--0-1-T00:00:00.000Z,anonymous,20928,2579
2023--0-1-T00:00:00.000Z,user,135706,40049
2023--0-1-T00:00:00.000Z,group-bot,76034,13950
2023--0-1-T00:00:00.000Z,name-bot,6,643
2023--0-2-T00:00:00.000Z,anonymous,20632,2048
2023--0-2-T00:00:00.000Z,user,129028,33991
2023--0-2-T00:00:00.000Z,group-bot,61664,13030
2023--0-2-T00:00:00.000Z,name-bot,11,203
2023--0-3-T00:00:00.000Z,anonymous,20393,2218
2023--0-3-T00:00:00.000Z,user,129454,34938
2023--0-3-T00:00:00.000Z,group-bot,35375,14309
2023--0-3-T00:00:00.000Z,name-bot,11,128
2023--0-4-T00:00:00.000Z,anonymous,21230,2113
2023--0-4-T00:00:00.000Z,user,115008,31254
2023--0-4-T00:00:00.000Z,group-bot,26415,11622
2023--0-4-T00:00:00.000Z,name-bot,16,122
2023--0-5-T00:00:00.000Z,anonymous,16815,1906
2023--0-5-T00:00:00.000Z,user,120810,32468
2023--0-5-T00:00:00.000Z,group-bot,65651,13296
2023--0-5-T00:00:00.000Z,name-bot,5,114
2023--0-6-T00:00:00.000Z,anonymous,18213,1510
2023--0-6-T00:00:00.000Z,user,110413,32944
2023--0-6-T00:00:00.000Z,group-bot,67661,12192
2023--0-6-T00:00:00.000Z,name-bot,26,40
2023--0-7-T00:00:00.000Z,anonymous,18581,1755
2023--0-7-T00:00:00.000Z,user,108047,30870
2023--0-7-T00:00:00.000Z,group-bot,15795,10657
2023--0-7-T00:00:00.000Z,name-bot,18,1
2023--0-8-T00:00:00.000Z,anonymous,16476,1558
2023--0-8-T00:00:00.000Z,user,120696,34425
2023--0-8-T00:00:00.000Z,group-bot,13434,12152
2023--0-8-T00:00:00.000Z,name-bot,162,25
2023--0-9-T00:00:00.000Z,anonymous,20863,1517
2023--0-9-T00:00:00.000Z,user,133439,36794
2023--0-9-T00:00:00.000Z,group-bot,20885,12025
2023--0-9-T00:00:00.000Z,name-bot,3242,108
2023--1-0-T00:00:00.000Z,anonymous,17469,1429
2023--1-0-T00:00:00.000Z,user,130848,34188
2023--1-0-T00:00:00.000Z,group-bot,21040,23176
2023--1-0-T00:00:00.000Z,name-bot,4166,230
2023--1-1-T00:00:00.000Z,anonymous,19613,1959
2023--1-1-T00:00:00.000Z,user,136944,34851
2023--1-1-T00:00:00.000Z,group-bot,90989,18188
2023--1-1-T00:00:00.000Z,name-bot,1710,52
2023--1-2-T00:00:00.000Z,anonymous,20638,1890
2023--1-2-T00:00:00.000Z,user,133844,33664
2023--1-2-T00:00:00.000Z,group-bot,172587,16376
2023--1-2-T00:00:00.000Z,name-bot,367,55
2024--0-1-T00:00:00.000Z,anonymous,25215,2448
2024--0-1-T00:00:00.000Z,user,142643,37870
2024--0-1-T00:00:00.000Z,group-bot,117049,18357
2024--0-1-T00:00:00.000Z,name-bot,2589,18
2024--0-2-T00:00:00.000Z,anonymous,20729,1978
2024--0-2-T00:00:00.000Z,user,133062,38561
2024--0-2-T00:00:00.000Z,group-bot,57307,14917
2024--0-2-T00:00:00.000Z,name-bot,2892,18
2024--0-3-T00:00:00.000Z,anonymous,18925,2007
2024--0-3-T00:00:00.000Z,user,125578,44922
2024--0-3-T00:00:00.000Z,group-bot,40989,111795
2024--0-3-T00:00:00.000Z,name-bot,2791,2
2024--0-4-T00:00:00.000Z,anonymous,16729,1550
2024--0-4-T00:00:00.000Z,user,119426,41420
2024--0-4-T00:00:00.000Z,group-bot,53827,42101
2024--0-4-T00:00:00.000Z,name-bot,110,5
2024--0-5-T00:00:00.000Z,anonymous,16075,1307
2024--0-5-T00:00:00.000Z,user,120423,38192
2024--0-5-T00:00:00.000Z,group-bot,9956,23453
2024--0-5-T00:00:00.000Z,name-bot,145,34
2024--0-6-T00:00:00.000Z,anonymous,14158,1385
2024--0-6-T00:00:00.000Z,user,115425,47474
2024--0-6-T00:00:00.000Z,group-bot,39734,32969
2024--0-6-T00:00:00.000Z,name-bot,72,24
2024--0-7-T00:00:00.000Z,anonymous,15912,1870
2024--0-7-T00:00:00.000Z,user,120108,36892
2024--0-7-T00:00:00.000Z,group-bot,78923,29209
2024--0-7-T00:00:00.000Z,name-bot,4199,25
2024--0-8-T00:00:00.000Z,anonymous,14142,2129
2024--0-8-T00:00:00.000Z,user,113532,29747
2024--0-8-T00:00:00.000Z,group-bot,18414,16645
2024--0-8-T00:00:00.000Z,name-bot,6,13
2024--0-9-T00:00:00.000Z,anonymous,14590,1507
2024--0-9-T00:00:00.000Z,user,106079,33116
2024--0-9-T00:00:00.000Z,group-bot,15543,27906
2024--0-9-T00:00:00.000Z,name-bot,3,146
2024--1-0-T00:00:00.000Z,anonymous,16205,1049
2024--1-0-T00:00:00.000Z,user,114297,34961
2024--1-0-T00:00:00.000Z,group-bot,36968,24775
2024--1-0-T00:00:00.000Z,name-bot,1,11
2024--1-1-T00:00:00.000Z,anonymous,15910,1355
2024--1-1-T00:00:00.000Z,user,121118,35351
2024--1-1-T00:00:00.000Z,group-bot,27727,128579
2024--1-1-T00:00:00.000Z,name-bot,3,16
2024--1-2-T00:00:00.000Z,anonymous,17281,1646
2024--1-2-T00:00:00.000Z,user,123082,34661
2024--1-2-T00:00:00.000Z,group-bot,17391,36792
2024--1-2-T00:00:00.000Z,name-bot,5,29
2025--0-1-T00:00:00.000Z,anonymous,18356,1844
2025--0-1-T00:00:00.000Z,user,132929,38591
2025--0-1-T00:00:00.000Z,group-bot,16480,17882
2025--0-1-T00:00:00.000Z,name-bot,132,13
2025--0-2-T00:00:00.000Z,anonymous,15125,1555
2025--0-2-T00:00:00.000Z,user,112310,32131
2025--0-2-T00:00:00.000Z,group-bot,20571,18539
2025--0-2-T00:00:00.000Z,name-bot,37,20
2025--0-3-T00:00:00.000Z,anonymous,16437,2783
2025--0-3-T00:00:00.000Z,user,118229,36533
2025--0-3-T00:00:00.000Z,group-bot,17992,21683
2025--0-3-T00:00:00.000Z,name-bot,7,46
2025--0-4-T00:00:00.000Z,anonymous,16568,2379
2025--0-4-T00:00:00.000Z,user,121148,37484
2025--0-4-T00:00:00.000Z,group-bot,17929,114266
2025--0-4-T00:00:00.000Z,name-bot,,15
2025--0-5-T00:00:00.000Z,anonymous,16789,1829
2025--0-5-T00:00:00.000Z,user,120981,36831
2025--0-5-T00:00:00.000Z,group-bot,11063,21108
2025--0-5-T00:00:00.000Z,name-bot,2,184
2025--0-6-T00:00:00.000Z,anonymous,13397,1818
2025--0-6-T00:00:00.000Z,user,106671,33146
2025--0-6-T00:00:00.000Z,group-bot,23427,17363
2025--0-6-T00:00:00.000Z,name-bot,3,197
2025--0-7-T00:00:00.000Z,anonymous,15391,1754
2025--0-7-T00:00:00.000Z,user,107787,35240
2025--0-7-T00:00:00.000Z,group-bot,7600,37521
2025--0-7-T00:00:00.000Z,name-bot,,172
2025--0-8-T00:00:00.000Z,anonymous,16084,2222
2025--0-8-T00:00:00.000Z,user,105865,32205
2025--0-8-T00:00:00.000Z,group-bot,8994,16327
2025--0-8-T00:00:00.000Z,name-bot,1,185
2025--0-9-T00:00:00.000Z,anonymous,17381,2387
2025--0-9-T00:00:00.000Z,user,99387,33775
2025--0-9-T00:00:00.000Z,group-bot,23385,16524
2025--0-9-T00:00:00.000Z,name-bot,,204
2025--1-0-T00:00:00.000Z,anonymous,15559,2260
2025--1-0-T00:00:00.000Z,user,103711,35054
2025--1-0-T00:00:00.000Z,group-bot,41894,17599
2025--1-0-T00:00:00.000Z,name-bot,5,238
2025--1-1-T00:00:00.000Z,anonymous,16408,2512
2025--1-1-T00:00:00.000Z,user,117412,35531
2025--1-1-T00:00:00.000Z,group-bot,57620,18053
2025--1-1-T00:00:00.000Z,name-bot,,127
2025--1-2-T00:00:00.000Z,anonymous,14786,1545
2025--1-2-T00:00:00.000Z,user,121031,35980
2025--1-2-T00:00:00.000Z,group-bot,73561,19674
2025--1-2-T00:00:00.000Z,name-bot,8,154
2026--0-1-T00:00:00.000Z,anonymous,12338,1343
2026--0-1-T00:00:00.000Z,user,132672,37546
2026--0-1-T00:00:00.000Z,group-bot,255305,25041
2026--0-1-T00:00:00.000Z,name-bot,1,220
2026--0-2-T00:00:00.000Z,anonymous,12147,1257
2026--0-2-T00:00:00.000Z,user,118088,30741
2026--0-2-T00:00:00.000Z,group-bot,60537,24799
2026--0-2-T00:00:00.000Z,name-bot,,331
2026--0-3-T00:00:00.000Z,anonymous,12919,1503
2026--0-3-T00:00:00.000Z,user,110292,31422
2026--0-3-T00:00:00.000Z,group-bot,57099,24307
2026--0-3-T00:00:00.000Z,name-bot,1,111
2026--0-4-T00:00:00.000Z,anonymous,11541,1220
2026--0-4-T00:00:00.000Z,user,98072,32290
2026--0-4-T00:00:00.000Z,group-bot,40124,20913
2026--0-4-T00:00:00.000Z,name-bot,33,6
2026--0-5-T00:00:00.000Z,anonymous,12648,1279
2026--0-5-T00:00:00.000Z,user,115325,34782
2026--0-5-T00:00:00.000Z,group-bot,49233,20944
2026--0-5-T00:00:00.000Z,name-bot,4,2
