month,editor_type,total.content,total.non-content
2004--1-0-T00:00:00.000Z,anonymous,6373,632
2004--1-0-T00:00:00.000Z,user,26626,5906
2004--1-0-T00:00:00.000Z,group-bot,,
2004--1-0-T00:00:00.000Z,name-bot,193,4
2004--1-1-T00:00:00.000Z,anonymous,7468,679
2004--1-1-T00:00:00.000Z,user,32799,6617
2004--1-1-T00:00:00.000Z,group-bot,,
2004--1-1-T00:00:00.000Z,name-bot,537,
2004--1-2-T00:00:00.000Z,anonymous,6849,613
2004--1-2-T00:00:00.000Z,user,31039,6427
2004--1-2-T00:00:00.000Z,group-bot,,22
2004--1-2-T00:00:00.000Z,name-bot,9550,590
2005--0-1-T00:00:00.000Z,anonymous,9872,859
2005--0-1-T00:00:00.000Z,user,38432,8519
2005--0-1-T00:00:00.000Z,group-bot,,
2005--0-1-T00:00:00.000Z,name-bot,2041,27
2005--0-2-T00:00:00.000Z,anonymous,7745,754
2005--0-2-T00:00:00.000Z,user,37874,8843
2005--0-2-T00:00:00.000Z,group-bot,,
2005--0-2-T00:00:00.000Z,name-bot,1915,3
2005--0-3-T00:00:00.000Z,anonymous,10366,787
2005--0-3-T00:00:00.000Z,user,37162,9248
2005--0-3-T00:00:00.000Z,group-bot,,
2005--0-3-T00:00:00.000Z,name-bot,2756,6
2005--0-4-T00:00:00.000Z,anonymous,15149,1126
2005--0-4-T00:00:00.000Z,user,45778,12335
2005--0-4-T00:00:00.000Z,group-bot,,
2005--0-4-T00:00:00.000Z,name-bot,8657,20
2005--0-5-T00:00:00.000Z,anonymous,15041,1095
2005--0-5-T00:00:00.000Z,user,55871,17310
2005--0-5-T00:00:00.000Z,group-bot,,
2005--0-5-T00:00:00.000Z,name-bot,16044,333
2005--0-6-T00:00:00.000Z,anonymous,18907,1314
2005--0-6-T00:00:00.000Z,user,65458,19690
2005--0-6-T00:00:00.000Z,group-bot,,38
2005--0-6-T00:00:00.000Z,name-bot,19853,1304
2005--0-7-T00:00:00.000Z,anonymous,14288,1250
2005--0-7-T00:00:00.000Z,user,48536,14506
2005--0-7-T00:00:00.000Z,group-bot,,6
2005--0-7-T00:00:00.000Z,name-bot,9497,761
2005--0-8-T00:00:00.000Z,anonymous,16110,1149
2005--0-8-T00:00:00.000Z,user,48556,16605
2005--0-8-T00:00:00.000Z,group-bot,,
2005--0-8-T00:00:00.000Z,name-bot,15393,649
2005--0-9-T00:00:00.000Z,anonymous,14691,1192
2005--0-9-T00:00:00.000Z,user,52953,18259
2005--0-9-T00:00:00.000Z,group-bot,,3
2005--0-9-T00:00:00.000Z,name-bot,123914,7315
2005--1-0-T00:00:00.000Z,anonymous,20360,1546
2005--1-0-T00:00:00.000Z,user,50930,18239
2005--1-0-T00:00:00.000Z,group-bot,,
2005--1-0-T00:00:00.000Z,name-bot,30443,317
2005--1-1-T00:00:00.000Z,anonymous,19773,1426
2005--1-1-T00:00:00.000Z,user,49196,17294
2005--1-1-T00:00:00.000Z,group-bot,,
2005--1-1-T00:00:00.000Z,name-bot,35316,1117
2005--1-2-T00:00:00.000Z,anonymous,27220,1650
2005--1-2-T00:00:00.000Z,user,71521,26073
2005--1-2-T00:00:00.000Z,group-bot,,6
2005--1-2-T00:00:00.000Z,name-bot,29454,800
2006--0-1-T00:00:00.000Z,anonymous,37116,2741
2006--0-1-T00:00:00.000Z,user,92271,35120
2006--0-1-T00:00:00.000Z,group-bot,,
2006--0-1-T00:00:00.000Z,name-bot,88701,825
2006--0-2-T00:00:00.000Z,anonymous,32891,2698
2006--0-2-T00:00:00.000Z,user,88429,33164
2006--0-2-T00:00:00.000Z,group-bot,110,1
2006--0-2-T00:00:00.000Z,name-bot,19657,558
2006--0-3-T00:00:00.000Z,anonymous,37441,2794
2006--0-3-T00:00:00.000Z,user,101884,38924
2006--0-3-T00:00:00.000Z,group-bot,112,1
2006--0-3-T00:00:00.000Z,name-bot,67475,953
2006--0-4-T00:00:00.000Z,anonymous,35469,2369
2006--0-4-T00:00:00.000Z,user,92646,31343
2006--0-4-T00:00:00.000Z,group-bot,11,25
2006--0-4-T00:00:00.000Z,name-bot,79014,1400
2006--0-5-T00:00:00.000Z,anonymous,39378,2755
